City,Cloudiness %,Country,Date,Humidity %,Latitude,Longitued,Max Temp (F),Wind Speed (mph)
Kaitangata,83,NZ,1570085960,70,-46.28,169.85,48.002,3.58
Avarua,48,CK,1570085749,77,-21.21,-159.78,69.80000000000001,1.5
Rezekne,100,LV,1570085961,96,56.5,27.32,44.96,3.79
Hermanus,52,ZA,1570085961,85,-34.42,19.24,62.995999999999995,5.1
Kieta,100,PG,1570085962,81,-6.22,155.63,79.88,3.84
Klaksvik,52,FO,1570085962,75,62.23,-6.59,44.6,4.1
Butaritari,95,KI,1570085962,58,3.07,172.79,85.46000000000001,0.44
Broome,0,GB,1570085963,100,52.47,1.45,46.004000000000005,1.5
Tignere,100,CM,1570085963,97,7.37,12.65,66.11,0.74
Qaanaaq,25,GL,1570085865,66,77.48,-69.36,21.704,2.39
Akdepe,0,TM,1570086024,22,42.05,59.39,66.2,4.1
Puerto Madryn,0,AR,1570085873,46,-42.77,-65.04,46.742,4.69
East London,0,ZA,1570086024,56,-33.02,27.91,69.80000000000001,3.6
Khatanga,0,RU,1570086024,58,71.98,102.47,26.816,3.7
Brae,20,GB,1570086025,86,60.4,-1.35,42.8,2.1
Nyurba,99,RU,1570086025,66,63.29,118.35,35.024,3.32
Coahuayana,100,MX,1570086025,93,18.62,-100.35,68.81,1.38
Hilo,90,US,1570085735,78,19.71,-155.08,77.0,3.6
Mahebourg,75,MU,1570086026,88,-20.41,57.7,77.0,5.1
Bluff,0,AU,1570086026,24,-23.58,149.07,82.742,6.46
Nikolskoye,90,RU,1570086027,81,59.7,30.79,42.8,5.0
Cabo San Lucas,22,MX,1570085764,85,22.89,-109.91,77.0,2.75
Lakatoro,100,VU,1570086027,76,-16.11,167.42,77.828,7.43
Port Elizabeth,90,US,1570086028,78,39.31,-74.98,75.992,5.1
Berlevag,75,NO,1570086028,64,70.86,29.09,39.2,8.7
Marsh Harbour,0,BS,1570086028,80,26.54,-77.06,79.05199999999999,5.62
Geraldton,90,CA,1570086029,88,49.72,-86.95,32.0,3.6
Kabanga,17,BI,1570086029,73,-3.22,30.37,68.21600000000001,3.15
Kavaratti,20,IN,1570086029,74,10.57,72.64,86.0,0.84
Oistins,40,BB,1570086026,74,13.07,-59.53,82.4,7.7
Pisco,54,PE,1570086019,82,-13.71,-76.2,62.6,2.1
Kapaa,75,US,1570085911,83,22.08,-159.32,80.6,8.2
Castlegar,52,CA,1570086031,82,49.32,-117.66,37.994,1.12
Upernavik,75,GL,1570086031,68,72.79,-56.15,37.454,4.67
Kotelnich,58,RU,1570086032,85,58.31,48.34,47.012,3.12
Talnakh,40,RU,1570085995,86,69.49,88.39,37.4,8.0
Cherskiy,45,RU,1570085922,75,68.75,161.3,25.898,6.43
Moron,100,HT,1570086032,78,18.56,-74.26,79.50200000000001,0.94
Guasdualito,90,VE,1570086033,93,7.24,-70.73,73.706,1.08
Nanga Eboko,99,CM,1570086033,99,4.68,12.37,68.612,1.33
Ust-Kuyga,100,RU,1570086034,80,70.0,135.55,25.826,11.05
Airai,0,TL,1570085894,40,-8.93,125.41,89.006,1.41
Vaini,40,IN,1570085836,65,15.34,74.49,82.4,1.5
Sandur,0,IQ,1570086034,16,36.91,43.06,86.95400000000001,2.34
Kpandu,99,GH,1570086035,97,7.0,0.29,73.13,1.91
Hobart,0,AU,1570086035,19,-42.88,147.33,80.99600000000001,6.7
Laguna,90,BZ,1570086035,94,16.17,-88.94,75.2,1.14
Carnarvon,50,ZA,1570086035,18,-30.97,22.13,60.566,1.64
Sao Joao da Barra,4,BR,1570086036,97,-21.64,-41.05,64.436,0.4
Fairbanks,90,US,1570085885,100,64.84,-147.72,37.4,1.31
Soto la Marina,3,MX,1570086037,94,23.77,-98.21,73.832,0.56
Codrington,0,AU,1570086037,47,-28.95,153.24,80.6,8.7
Belmonte,55,PT,1570086038,68,40.36,-7.35,46.994,1.3
Acapulco,90,MX,1570086038,83,16.86,-99.88,80.6,1.66
Nador,20,MA,1570086038,60,35.17,-2.93,69.80000000000001,5.7
Makakilo City,90,US,1570085747,78,21.35,-158.09,80.99600000000001,6.7
Khipro,0,PK,1570086039,47,25.83,69.38,94.46000000000001,5.93
Albany,75,US,1570085821,61,42.65,-73.75,48.992000000000004,5.7
Port Alfred,36,ZA,1570086040,79,-33.59,26.89,68.0,4.02
Puerto Ayora,71,EC,1570086040,94,-0.74,-90.35,66.992,0.45
Qandala,100,SO,1570086041,64,11.47,49.87,85.064,1.91
Lompoc,1,US,1570086041,66,34.64,-120.46,57.992000000000004,5.01
Iqaluit,90,CA,1570086041,92,63.75,-68.52,33.8,5.1
Tongzi,94,CN,1570086042,66,28.78,105.09,80.474,1.3
Leningradskiy,100,RU,1570085770,90,69.38,178.42,31.442,4.39
Sobolevo,97,RU,1570086043,83,54.43,31.9,53.744,5.14
Kailua,90,US,1570086043,78,21.39,-157.74,80.99600000000001,6.7
Thompson,5,CA,1570086043,79,55.74,-97.86,24.8,1.91
Vuktyl,85,RU,1570085946,79,63.86,57.31,44.744,4.75
Bowen,40,AU,1570086104,73,-20.01,148.25,73.4,9.8
Puerto Rondon,95,CO,1570086104,90,6.28,-71.1,74.31800000000001,1.91
Kraskino,100,RU,1570086105,62,42.71,130.78,72.93199999999999,2.6
Pevek,100,RU,1570086105,76,69.7,170.27,28.868,2.8
Hasaki,75,JP,1570085905,65,35.73,140.83,78.99799999999999,6.7
Ileza,98,RU,1570086106,89,61.05,43.9,38.3,3.08
Fayaoue,100,NC,1570086106,74,-20.65,166.53,70.394,9.33
Ilulissat,7,GL,1570085995,33,69.22,-51.1,46.4,5.7
Dingle,16,PH,1570086107,64,11.0,122.67,88.106,2.74
Bathsheba,40,BB,1570085968,74,13.22,-59.52,82.4,7.7
La Ronge,5,CA,1570086107,74,55.1,-105.3,35.6,2.6
Yellowknife,75,CA,1570086108,70,62.45,-114.38,44.6,4.1
Luderitz,0,NA,1570085927,89,-26.65,15.16,55.004,9.75
Ancud,0,CL,1570086108,77,-41.87,-73.83,32.0,3.1
Fortuna,90,US,1570086109,87,40.6,-124.16,53.006,2.1
Maningrida,55,AU,1570086109,48,-12.05,134.23,86.594,6.59
Juatuba,0,BR,1570086110,55,-19.95,-44.34,66.2,2.6
Adiake,75,CI,1570085968,94,5.29,-3.3,77.0,3.1
Ponta do Sol,9,BR,1570085884,60,-20.63,-46.0,66.72200000000001,2.27
Vardo,90,US,1570086110,73,39.62,-77.74,77.0,1.99
Bati,58,ET,1570086111,62,11.19,40.02,71.474,0.45
Aripuana,43,BR,1570086111,92,-9.17,-60.63,73.256,1.31
Souillac,90,FR,1570086111,87,45.6,-0.6,51.998000000000005,3.41
Porbandar,40,IN,1570086112,62,21.64,69.61,89.6,2.6
Itarema,1,BR,1570086112,88,-2.92,-39.92,71.834,2.95
Horadiz,90,AZ,1570086112,93,39.45,47.33,66.2,4.1
Fare,1,PF,1570086113,80,-16.7,-151.02,77.9,7.26
Emba,40,CY,1570086113,65,34.81,32.42,78.80000000000001,2.6
Saint-Junien,0,FR,1570086113,93,45.89,0.9,51.008,2.1
Balma,40,FR,1570086114,93,43.61,1.51,57.002,1.5
Okhotsk,0,RU,1570085979,43,59.36,143.24,35.708,8.19
Constitucion,100,MX,1570086114,91,23.99,-104.67,59.0,0.45
Bandarbeyla,94,SO,1570086115,62,9.49,50.81,81.75200000000001,2.39
Katsuura,75,JP,1570085853,88,33.93,134.5,78.80000000000001,12.9
Najran,0,SA,1570086115,26,17.54,44.22,84.2,2.1
Nome,1,US,1570086023,100,30.04,-94.42,78.008,0.66
Avera,1,US,1570086116,78,33.19,-82.53,78.99799999999999,2.0
Ayaviri,57,PE,1570086116,81,-14.88,-70.59,39.578,1.15
Anadyr,75,RU,1570086117,74,64.73,177.51,30.2,1.0
Ritchie,0,ZA,1570086117,42,-29.03,24.6,64.4,11.8
Front Royal,1,US,1570085945,78,38.92,-78.19,77.0,2.6
Norman Wells,90,CA,1570086117,93,65.28,-126.83,44.6,1.5
Walvis Bay,90,NA,1570086118,82,-22.95,14.51,57.2,3.1
Richards Bay,0,ZA,1570086118,68,-28.77,32.06,67.856,11.23
Vila Franca do Campo,40,PT,1570086062,77,37.72,-25.43,71.006,2.1
Tiksi,100,RU,1570086118,87,71.64,128.87,23.594,12.13
Portland,40,US,1570085846,65,43.66,-70.25,48.002,2.6
Charleston,1,US,1570086119,94,32.79,-79.94,77.0,1.8
Orito,100,CO,1570086119,98,0.67,-76.88,67.658,1.62
Cartagena del Chaira,100,CO,1570086119,98,1.33,-74.84,71.708,0.71
Poshekhonye,100,RU,1570086120,95,58.5,39.12,44.564,2.28
Ahuimanu,90,US,1570085992,78,21.44,-157.84,80.99600000000001,6.7
Saint-Pierre,0,FR,1570086094,100,48.95,4.24,35.996,1.5
Georgetown,20,GY,1570085986,100,6.8,-58.16,75.2,1.0
Webster,90,US,1570086043,87,42.05,-71.88,53.006,4.6
Verkhnevilyuysk,73,RU,1570086121,64,63.45,120.31,36.05,1.83
Irtyshskiy,100,RU,1570086122,77,58.33,68.13,47.174,5.05
Severouralsk,100,RU,1570086122,94,60.15,59.96,41.792,2.14
Bosconia,93,CO,1570086182,93,9.97,-73.89,74.30000000000001,0.82
Yar-Sale,83,RU,1570086183,80,66.83,70.83,43.879999999999995,5.28
Axim,95,GH,1570086183,91,4.87,-2.24,75.938,1.34
Moerai,28,PF,1570086184,72,-22.43,-151.33,71.888,5.21
Mishan,100,CN,1570086184,78,45.55,131.88,54.734,4.91
Saint-Francois,23,FR,1570086185,100,46.42,3.91,39.2,0.3
Bredasdorp,7,ZA,1570086185,71,-34.53,20.04,62.006,3.1
Poum,75,MK,1570086185,87,41.28,20.71,55.400000000000006,2.1
Saskylakh,20,RU,1570086186,81,71.97,114.09,19.544,0.65
Biloela,0,AU,1570086186,23,-24.4,150.51,80.006,5.52
Filadelfia,99,PY,1570086186,61,-22.35,-60.04,62.168000000000006,1.94
Saint Anthony,1,US,1570086187,48,43.97,-111.68,35.996,3.31
Lucea,20,JM,1570086187,83,18.44,-78.17,80.6,1.5
Kisangani,100,CD,1570086187,97,0.52,25.21,70.988,2.29
Manta,71,RO,1570086188,61,45.1,24.1,63.392,2.43
College,90,US,1570086118,100,64.86,-147.8,37.4,1.31
Belaya Gora,100,RU,1570085977,72,68.54,146.19,32.54,10.8
Acayuca,44,MX,1570086189,91,20.03,-98.84,52.196,1.72
Chokurdakh,99,RU,1570086190,80,70.62,147.9,28.418,5.09
Baculin,43,PH,1570086190,80,7.45,126.58,79.05199999999999,1.89
Tasiilaq,100,GL,1570086191,77,65.61,-37.64,37.4,13.9
Nioro,100,GM,1570086191,87,13.79,-15.05,76.78399999999999,3.93
Boa Vista,0,BR,1570086141,74,2.82,-60.67,80.6,2.1
Porto Velho,20,BR,1570086192,94,-8.75,-63.87,73.4,1.16
Grand Gaube,75,MU,1570086193,88,-20.01,57.66,77.0,5.1
Puri,0,ID,1570086193,19,-7.54,112.45,100.994,7.42
Tubuala,40,PA,1570086193,94,9.52,-79.03,77.0,1.5
Totness,1,US,1570086193,88,33.74,-80.8,77.0,1.5
Flinders,0,AU,1570086194,28,-34.58,150.85,82.4,4.1
Fort Nelson,90,CA,1570086194,87,58.81,-122.69,50.0,1.0
Ostersund,20,SE,1570086195,93,63.18,14.64,33.008,2.1
Maracaibo,75,CO,1570086195,88,3.41,-75.78,68.0,1.5
Leo,98,BF,1570086195,90,11.1,-2.1,73.202,1.58
Salinopolis,2,BR,1570086196,79,-0.61,-47.36,81.032,7.64
Clonakilty,75,IE,1570086196,82,51.62,-8.87,55.400000000000006,10.3
Batagay-Alyta,100,RU,1570086196,76,67.8,130.41,14.27,2.03
Mae Hong Son,20,MM,1570086196,46,19.3,97.96,91.4,1.21
Alyangula,100,AU,1570086197,40,-13.85,136.42,87.80000000000001,6.7
Havoysund,75,NO,1570086197,86,71.0,24.66,33.8,8.2
Hofn,100,IS,1570086198,99,64.25,-15.21,31.478,6.19
Nemuro,75,JP,1570086144,88,43.32,145.57,66.2,3.6
Haines Junction,7,CA,1570086200,83,60.75,-137.51,31.676,0.26
Mount Isa,0,AU,1570086200,17,-20.73,139.49,91.4,4.6
Daru,100,PG,1570086200,84,-9.07,143.21,76.676,5.91
Holeby,80,DK,1570086200,97,54.71,11.46,48.002,1.34
Santa Marta,77,CO,1570086201,73,11.24,-74.21,83.642,2.69
Porto Walter,81,BR,1570086201,82,-8.27,-72.74,72.86,0.22
Butterworth,75,MY,1570086202,66,5.4,100.37,87.80000000000001,3.6
La Orilla,100,MX,1570086202,86,18.0,-102.23,77.018,2.87
Kulevcha,42,RU,1570086202,68,52.24,42.64,55.292,4.77
Salamanca,75,MX,1570086203,82,20.57,-101.19,60.8,2.6
Victoria,75,BN,1570086198,58,5.28,115.24,89.6,2.1
Patiya,40,BD,1570086203,70,22.3,91.98,87.80000000000001,3.1
Dawei,24,MM,1570086204,76,14.07,98.19,83.24600000000001,4.22
Kruisfontein,95,ZA,1570086204,80,-34.0,24.73,60.638000000000005,9.33
Pandan,100,PH,1570086205,74,11.72,122.09,83.282,3.13
Povenets,98,RU,1570086205,81,62.85,34.83,35.996,2.9
Linfen,61,CN,1570086205,56,36.09,111.52,73.49000000000001,5.39
Longyearbyen,75,NO,1570086206,74,78.22,15.63,35.6,8.7
Gazojak,0,TM,1570086266,23,41.19,61.4,68.72,5.91
Mount Gambier,90,AU,1570086267,82,-37.83,140.78,57.2,6.7
Balkanabat,0,TM,1570086267,19,39.51,54.36,73.544,1.78
Puerto Escondido,33,MX,1570086267,76,15.86,-97.07,74.35400000000001,1.76
Pacific Grove,0,US,1570086004,54,36.62,-121.92,57.992000000000004,3.87
Tingi,93,TZ,1570086268,75,-11.3,35.03,71.024,4.04
Kimbe,63,PG,1570086268,79,-5.56,150.15,82.4,0.3
Saint-Philippe,1,CA,1570086268,86,45.36,-73.48,42.007999999999996,1.5
Lensk,100,RU,1570086269,92,60.71,114.91,33.638,4.85
Shingu,75,JP,1570086269,88,33.72,135.99,75.2,7.7
Pundaguitan,16,PH,1570086018,68,6.37,126.17,84.23599999999999,3.27
Coxim,90,BR,1570086270,85,-18.5,-54.75,74.03,1.89
Gornopravdinsk,100,RU,1570086270,89,60.06,69.92,47.39,5.8
Gizo,40,IL,1570086271,57,31.8,34.94,82.004,2.6
Hobyo,79,SO,1570086063,63,5.35,48.53,84.77600000000001,4.05
Vestmannaeyjar,90,IS,1570086185,93,63.44,-20.27,46.4,20.6
Chibombo,99,ZM,1570086272,69,-14.68,28.09,67.874,5.52
Chakia,100,IN,1570086272,75,26.42,85.05,83.22800000000001,3.76
Okha,86,RU,1570086272,58,53.59,142.95,41.18,8.95
Pacifica,1,US,1570086122,87,37.61,-122.49,57.002,1.5
Lerwick,40,GB,1570086049,81,60.15,-1.15,42.8,4.1
Kavaje,0,AL,1570086273,68,41.18,19.56,68.0,3.6
Bourail,100,NC,1570086273,65,-21.57,165.5,67.82,4.19
Inhambane,75,MZ,1570086274,78,-23.87,35.38,71.6,2.63
Clearlake,1,US,1570086061,46,38.96,-122.63,53.6,1.96
Lorengau,69,PG,1570086274,76,-2.02,147.27,82.076,0.48
Necochea,0,AR,1570086274,91,-38.55,-58.74,30.002,0.45
Tamandare,96,BR,1570086275,86,-8.28,-70.75,72.464,0.29
Warrnambool,100,AU,1570086275,87,-38.38,142.48,59.0,2.24
Aviles,0,ES,1570086275,93,43.55,-5.92,57.002,3.6
Camacha,40,PT,1570086276,82,33.08,-16.33,68.0,1.5
Egvekinot,99,RU,1570086026,97,66.32,-179.17,26.798000000000002,0.85
San Quintin,9,PH,1570086277,71,17.54,120.52,84.398,3.39
Valparaiso,90,US,1570086073,100,41.47,-87.06,64.994,1.5
Cadereyta,40,MX,1570086010,88,25.58,-99.98,75.2,2.1
Sioux Lookout,90,CA,1570086277,86,50.1,-91.92,39.2,2.1
Krasnogorskoye,83,RU,1570086278,77,57.7,52.5,53.42,7.6
Pervomayskoye,4,RU,1570086278,52,57.07,86.23,51.278000000000006,6.74
Turhal,75,TR,1570086278,60,40.38,36.08,69.80000000000001,2.6
Karratha,0,AU,1570086279,13,-20.74,116.85,102.344,7.05
Cayenne,93,GF,1570086023,94,4.94,-52.33,75.2,1.81
Saint-Paul,90,FR,1570086280,100,45.22,1.9,48.992000000000004,0.96
Diphu,17,IN,1570086280,74,25.84,93.44,84.83000000000001,1.19
Kahului,40,US,1570086280,88,20.89,-156.47,78.008,3.6
Arkhangelsk,20,RU,1570086281,86,64.54,40.54,37.4,3.0
Mujiayingzi,99,CN,1570086281,78,42.12,118.78,51.71,3.97
Hay River,20,CA,1570086281,70,60.82,-115.79,44.6,2.1
Tezu,38,IN,1570086282,73,27.93,96.16,83.12,0.49
Honiara,40,SB,1570086282,88,-9.43,159.96,82.4,5.1
Maun,0,BW,1570086283,59,-19.99,23.42,66.2,6.2
Tura,91,RU,1570086283,80,64.27,100.22,38.462,4.62
Irbit,99,RU,1570086284,76,57.67,63.06,51.854,6.61
Zyryanka,100,RU,1570086284,43,65.73,150.89,33.242,7.77
Yinchuan,69,CN,1570086285,39,38.48,106.21,68.0,2.24
Sorong,11,ID,1570086285,82,-0.86,131.25,82.328,1.07
San Antonio del Norte,75,HN,1570086286,93,13.88,-87.7,66.2,2.1
Mehamn,75,NO,1570086286,64,71.03,27.85,39.2,8.7
Sinnamary,59,GF,1570086286,79,5.38,-52.96,81.464,7.36
Kampong Cham,74,KH,1570086287,57,11.99,105.46,90.176,2.45
Tigil,88,RU,1570086347,88,57.8,158.67,40.352000000000004,1.35
Boralday,20,KZ,1570086348,36,43.36,76.86,60.8,2.0
Bolshoye Murashkino,83,RU,1570086348,84,55.78,44.78,55.022,4.23
Newport,90,US,1570086332,66,41.49,-71.31,55.994,7.2
Methoni,40,GR,1570086349,77,36.82,21.7,75.992,4.63
Robertsport,100,LR,1570086349,98,6.75,-11.37,73.742,1.92
Altus,90,US,1570086175,61,34.64,-99.33,78.80000000000001,3.6
Ambon,90,FR,1570086349,81,47.55,-2.56,55.994,2.6
Hami,7,CN,1570086350,23,42.84,93.51,64.904,2.67
Shevchenko,2,UA,1570086350,59,48.22,37.14,61.502,4.82
Gornyye Klyuchi,100,RU,1570086351,77,45.25,133.5,58.135999999999996,5.69
Heyang,48,CN,1570086351,63,26.1,107.47,76.49600000000001,4.08
Wexford,90,US,1570086196,100,40.63,-80.06,73.004,0.96
Nuevo Imperial,21,PE,1570086352,91,-13.08,-76.32,60.494,1.47
Saint-Joseph,0,FR,1570086352,71,43.56,6.97,68.0,2.1
Awbari,0,LY,1570086353,12,26.59,12.77,79.322,5.48
Kungurtug,0,RU,1570086206,41,50.6,97.53,39.254,1.43
Bad Harzburg,40,DE,1570086353,93,51.88,10.56,51.008,4.6
Guaimaca,75,HN,1570086354,93,14.53,-86.82,66.2,2.1
Palana,99,RU,1570086354,60,59.08,159.95,38.552,2.24
Chuy,56,UY,1570086354,79,-33.69,-53.46,56.480000000000004,5.45
Olga,1,US,1570086355,68,34.11,-118.17,64.4,1.44
Boddam,75,GB,1570086355,93,57.47,-1.78,44.6,1.0
Prince George,90,CA,1570086120,87,53.92,-122.75,44.996,1.0
Pucara,0,BO,1570086356,63,-21.7,-64.2,45.32,0.88
Vaitape,27,PF,1570086356,80,-16.52,-151.75,78.098,7.09
Otautau,89,NZ,1570086356,89,-46.14,168.0,48.992000000000004,1.79
Davila,75,PH,1570086357,79,18.47,120.58,86.0,3.6
Slavyanka,100,RU,1570086357,75,42.86,131.39,68.612,3.29
Rapid City,90,US,1570086358,100,44.08,-103.23,37.994,2.6
Swellendam,82,ZA,1570086358,71,-34.02,20.44,57.2,3.1
Hamilton,90,CA,1570086194,87,43.26,-79.87,53.996,8.7
Padang,86,ID,1570086359,85,-0.92,100.36,78.35,5.9
Biabou,40,VC,1570086359,78,13.2,-61.13,82.4,7.7
Storforshei,40,NO,1570086359,76,66.4,14.52,32.0,1.0
Bakchar,27,RU,1570086360,50,57.02,82.07,51.89,5.54
Shwebo,76,MM,1570086360,80,22.57,95.7,83.606,3.25
Marawi,39,PH,1570086360,76,8.0,124.29,84.992,3.13
Surt,0,LY,1570086308,60,31.21,16.59,78.44,5.63
Petropavlovka,0,RU,1570086361,37,50.61,105.32,39.704,3.19
Governador Valadares,11,BR,1570086318,84,-18.85,-41.95,65.858,1.55
Bodden Town,100,KY,1570086362,87,19.28,-81.25,80.006,0.89
Seoul,1,KR,1570086277,54,37.57,126.98,84.2,2.1
Esperance,52,AU,1570086362,59,-33.86,121.89,66.2,8.2
Nosy Varika,39,MG,1570086363,75,-20.58,48.53,77.684,3.17
Kankaanpaa,100,FI,1570086363,80,61.8,22.42,39.2,5.1
Taltal,22,CL,1570086364,90,-25.41,-70.49,49.891999999999996,2.45
Samarai,100,PG,1570086364,92,-10.62,150.67,75.416,3.09
Meulaboh,90,ID,1570086365,80,4.14,96.13,79.80799999999999,5.81
Provideniya,75,RU,1570086073,80,64.42,-173.23,37.4,5.0
Hastings,100,NZ,1570086365,80,-39.64,176.84,44.618,3.17
Hervey Bay,0,AU,1570086081,43,-25.3,152.85,75.00200000000001,6.7
Manggar,100,ID,1570086366,49,-2.88,108.27,89.618,3.43
Igbo Ora,100,NG,1570086367,97,7.43,3.28,72.896,1.1
Baykit,100,RU,1570086367,98,61.68,96.39,36.338,2.16
Dakar,20,SN,1570086368,88,14.69,-17.45,77.0,2.6
Touros,20,BR,1570086368,94,-5.2,-35.46,69.80000000000001,2.1
Shibetsu,75,JP,1570086368,73,44.15,142.46,71.6,1.5
Saldanha,97,PT,1570086369,69,41.42,-6.55,53.042,0.78
Ocos,75,GT,1570086429,94,14.51,-92.19,73.4,1.35
Saint George,40,GR,1570086244,64,39.45,22.34,73.4,0.83
Cacu,98,BR,1570086430,88,-18.56,-51.13,70.106,0.5
Kasungu,25,MW,1570086430,64,-13.04,33.48,72.896,5.67
Rorvik,40,NO,1570086184,69,64.86,11.24,39.992000000000004,4.1
Alofi,40,NU,1570086431,88,-19.06,-169.92,77.0,3.1
Zhezkazgan,0,KZ,1570086431,14,47.8,67.71,59.0,4.0
Guisa,20,CU,1570086432,94,20.25,-76.54,73.4,3.1
Dwarka,40,IN,1570086432,55,28.58,77.04,91.4,2.1
Kaeo,83,NZ,1570086432,90,-35.1,173.78,53.996,3.36
Nsoko,0,ZA,1570086433,56,-27.07,31.93,63.644,1.9
Sitka,80,US,1570086433,92,37.17,-99.65,53.006,11.18
Isangel,75,VU,1570086433,61,-19.55,169.27,77.0,5.1
Lazaro Cardenas,57,MX,1570086434,82,28.39,-105.62,69.008,0.89
Sao Jose da Coroa Grande,1,BR,1570086434,94,-8.9,-35.15,68.378,0.34
Chara,40,GR,1570086435,64,39.42,22.43,73.4,0.83
Pleshanovo,90,RU,1570086435,93,57.46,28.17,44.6,3.0
Trairi,29,BR,1570086436,83,-3.28,-39.27,71.258,2.58
Basco,90,US,1570086436,100,40.33,-91.2,71.6,3.6
Kutum,4,SD,1570086436,60,14.2,24.66,74.822,3.11
Westport,90,US,1570086436,82,41.14,-73.36,60.8,7.2
Kavieng,38,PG,1570086437,67,-2.57,150.8,83.894,0.74
Halifax,20,CA,1570086431,93,44.65,-63.58,42.998000000000005,3.6
Omboue,97,GA,1570086437,78,-1.57,9.26,77.21600000000001,3.54
Helong,0,CN,1570086438,31,25.94,116.13,94.406,1.04
Ewa Beach,90,US,1570086241,78,21.32,-158.01,80.6,6.7
Kota Kinabalu,75,MY,1570086439,70,5.98,116.07,87.80000000000001,2.1
Santa Isabel,1,MX,1570086439,32,32.63,-115.58,71.6,1.5
Abu Samrah,0,SY,1570086439,59,35.3,37.18,73.742,4.81
Lac-Megantic,20,CA,1570086439,88,45.58,-70.88,35.996,1.5
Alice Springs,0,AU,1570086219,8,-23.7,133.88,95.0,6.7
Cockburn Town,74,TC,1570086334,72,21.46,-71.14,82.47200000000001,2.09
Urucara,68,BR,1570086441,68,-2.54,-57.76,77.43199999999999,1.54
Komsomolskiy,100,RU,1570086441,91,67.55,63.78,39.884,5.77
